title,authors,publication_date,first_seen_date,relevance_decision,relevance_score,tags,sources,url,doi,arxiv_id,publication_year,publication_date_precision,publication_date_source,publication_date_confidence,effective_sort_date,publication_status,quality_status,quality_rationale,quality_uncertainty,quality_full_text_assessed,quality_score,quality_recommendation,quality_confidence,quality_assessment_scope,quality_paper_type,quality_assessment_version,quality_rubric_version,quality_assessor_type,quality_assessor_model,quality_assessed_at,quality_summary,quality_strengths,quality_concerns,quality_missing_information,quality_score_cap,quality_score_cap_reason,combined_rank_score,quality_downranked,quality_suppressed,latest_revision_date,source_updated_date,first_seen_at
Closing the Empirical Loop: Autonomous AI Agents Conduct End‐to‐end Research With Human Participants,"Gabrielle Wehr, Reuben Rideaux, Amaya Fox, David R. Lightfoot, Jason M. Tangen, Jason B. Mattingley, Shane E. Ehrhardt",2026-09-14,2026-09-15,relevant,93,ai-scientist; deep-research-agents,openalex,https://doi.org/10.1002/advs.76675,10.1002/advs.76675,,2026,day,openalex,medium,2026-09-14,peer_reviewed,pass,"The manuscript presents a systems/application contribution: an autonomous multi-agent AI pipeline that performs end-to-end empirical research with human participants. The central claim is architectural and demonstrative rather than a new psychological finding. The paper provides substantial methodological description, explicit expert evaluation of the generated manuscripts, reproducibility tests, ablation tests for review agents and dynamic memory, and detailed limitations. The evidence supports the claimed feasibility demonstration, while the authors appropriately acknowledge that the scientific quality of the generated studies is mixed and that no validated benchmark exists for autonomous research quality.","The main uncertainty is whether the expert evaluation of the three AI-generated manuscripts is sufficiently independent and systematic to support the claim that the system demonstrates 'theoretical reasoning and methodological rigor comparable to experienced researchers.' The paper reports structured expert review but does not provide the full reviewer protocol, inter-rater reliability, or quantitative scoring in the extracted text. This limits confidence in the strength of the validation, though the authors also release the manuscripts and code for independent appraisal.",True,78,promising,medium,full_text,systems_or_application,quality-coverage-v1,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T16:53:56+00:00,"This systems/application paper demonstrates an autonomous multi-agent AI pipeline that performs end-to-end empirical research with human participants, producing three cognitive psychology manuscripts. The contribution is architectural and demonstrative. The paper provides strong methodological description, transparency, reproducibility testing, ablation studies, and detailed limitations. The main weakness is that the validation of generated manuscript quality relies on qualitative expert review without a fully specified quantitative protocol or controlled comparison, and the reported expert assessment identifies substantive scientific flaws in the generated manuscripts.","The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; An ablation analysis is reported.; User, expert, operational, or deployment evidence is described.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Code, data, or research artifacts are described as available.; Formal definitions or proof-oriented evidence is present.; A review or study-selection methodology is described.; Dataset documentation, quality control, licensing, or ethics is discussed.; The paper clearly states its architectural contribution and distinguishes it from domain-specific AI systems.; The system includes multiple validation mechanisms: pre-registration, power analysis, reference verification, peer-style review, and human expert evaluation.; The authors report reproducibility tests across five reruns and ablation tests for review agents and dynamic memory.; The paper provides detailed limitations, including domain constraints, visualization imperfections, anchoring bias, and lack of validated benchmarks.; Data, code, pre-registrations, and generated manuscripts are made publicly available on GitHub.; The authors explicitly address potential bias through pre-registered hypotheses that were frequently violated by the data.","The available results appear to demonstrate functionality rather than comparative effectiveness.; The human expert evaluation is described qualitatively, without a detailed scoring rubric, inter-rater reliability, or quantitative comparison against human-authored baselines.; The claim of 'methodological rigor comparable to experienced researchers' is partly undermined by the reported theoretical misrepresentations, statistical omissions, and internal contradictions in the generated manuscripts.; The paper does not provide a direct controlled comparison with human researchers or with alternative agentic frameworks.; The expert evaluation appears to have been conducted by the authors or their collaborators, which may introduce confirmation bias despite the structured review process.","JATS XML: Page labels are logical body-section numbers, not PDF pages.; References, acknowledgements and other labelled back matter excluded; body and detected appendices retained where budget permits.; Full expert reviewer protocol and quantitative evaluation scores are not included in the extracted text.; Details of the three generated manuscripts' statistical results and pre-registration documents are only referenced as supporting information.; No direct benchmark or controlled comparison against human-led research workflows is provided.",,,0.9300,False,False,,2026-09-15,2026-09-15 12:04:19
Sci-MMR: Benchmarking Multi-Step Evidence-Grounded Scientific Reasoning in Multimodal Agents,"Jiaqiang Li, Yajie Yang, Zhiheng Xi, Jiadong Chen, Enyu Zhou, Senjie Jin, Yang Nan, Jiazheng Zhang, Han Wang, Yanxin Li, Dingwei Zhu, Bicheng Deng, Yuhui Wang, Xiang Zheng, Qi Zhang, Lei Bai, Xingjun Ma, Tao Gui",2026-09-10,2026-09-11,relevant,96,deep-research-agents; citation-grounding,openalex; arxiv,https://arxiv.org/abs/2609.11243,10.48550/arxiv.2609.11243,2609.11243,2026,day,openalex,medium,2026-09-10,preprint,uncertain,The proposed decision lacked sufficient located manuscript evidence; review is pending.,"Full-text evidence is required for contribution, methods, validation, comparisons or their justified absence, claim alignment, and limitations.",True,88,strong,high,full_text,dataset_or_benchmark,quality-coverage-v1,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T16:54:30+00:00,"Sci-MMR introduces a benchmark of 235 multi-hop scientific reasoning tasks built on argument graphs linking claims, evidence, knowledge, and visual regions. The paper evaluates eight multimodal models across four settings and identifies evidence acquisition and integration as distinct bottlenecks. The work is methodologically rigorous with expert verification, multiple metrics, and controlled interventions, and it clearly positions itself against existing benchmarks.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; The work reports an error or qualitative analysis.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Formal definitions or proof-oriented evidence is present.; Dataset documentation, quality control, licensing, or ethics is discussed.; Clear benchmark contribution with structured argument graphs; Human-in-the-loop construction with expert verification; Multiple complementary evaluation metrics (Accuracy, E-Cov., C-Cov.); Controlled interventions (Evidence-Hint, Agentic Tool-Use) to isolate failure modes; Cross-judge and human agreement validation; Sensitivity analyses for IoU thresholds and error routing; Explicit limitations section; Detailed appendix with prompt catalogue and construction protocols","LLM-based evaluation may introduce bias despite reported agreement; Argument graph construction involves some subjectivity; Benchmark is dominated by 2026 papers (54.5%), potentially limiting temporal diversity; No public code or dataset release details are explicitly stated in the main text","References, acknowledgements and other labelled back matter excluded; body and detected appendices retained where budget permits.; Dataset availability or release plan is not explicitly stated in the main text; Details on how the eight-dimensional rubric was calibrated or validated beyond the construction pipeline",,,0.9600,False,False,,2026-09-15,2026-09-11 11:28:10
Mr.LHDR: A Benchmark for Multimodal Real-World Long-Horizon Deep Research Agents,"Minghao Guo, Meng Cao, Sui Zhao, Siyu Ning, Xin Wang, Haoze Zhao, Jiaxuan Yang, Haihong Hao, Mingfei Han, Shunlin Rong, Haijun Wu, Xiaodan Liang, Xiaojun Chang",2026-09-10,2026-09-11,relevant,93,deep-research-agents; benchmark,openalex; arxiv,https://doi.org/10.48550/arxiv.2609.11318,10.48550/arxiv.2609.11318,2609.11318,2026,day,openalex,medium,2026-09-10,preprint,pass,"The paper presents a clearly scoped benchmark contribution with explicit construction principles, a defined evaluation protocol, and empirical results across 25 systems. The central claims are supported by quantitative evidence in the supplied text, including main results, an image ablation with bootstrap confidence intervals, checklist-length analysis, and failure-mode diagnostics. The authors explicitly distinguish what the metrics do and do not measure, and limitations are acknowledged. The related-work section positions Mr.LHDR against representative benchmarks and explains the gap it addresses. The available partial text is sufficient to establish substantive manuscript evidence for the six required dimensions.","The assessment is based on partial full text limited to 120,000 characters, so some appendix-level details, complete judge robustness analyses, and full split-level results are not available. Confidence intervals for many system comparisons overlap, and the authors themselves note that most per-model differences are not statistically separable. These factors limit the strength of ranking claims but do not undermine the benchmark contribution itself.",True,77,promising,medium,partial_full_text,dataset_or_benchmark,quality-v2,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T09:12:58+00:00,"The paper introduces Mr.LHDR, a benchmark for long-horizon multimodal deep research with 102 items constructed from hidden Node-Relation graphs. It defines OA, SA, CS, and DACS metrics and evaluates 25 systems, finding that final-answer accuracy overstates dependency-consistent task success. The contribution is clearly scoped, the methodology is described with validation gates, and the central claims are supported by quantitative evidence including an image ablation and failure-mode analysis. Limitations are acknowledged, and the related-work positioning is adequate for the benchmark's claims.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; An ablation analysis is reported.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Code, data, or research artifacts are described as available.; The benchmark construction process is described with quality gates and validation stages.; The evaluation protocol defines four complementary metrics with formal equations.; Quantitative results are reported for 25 systems across four model groups.; A controlled image ablation with bootstrap confidence intervals is reported.; Checklist-length and dependency-depth analyses are reported.; Failure-mode analysis is reported with a defined taxonomy.; Limitations and scope boundaries are explicitly acknowledged.; Code and data availability are described.",,Extraction was limited to 120000 characters.; Extraction was limited to 120000 characters; appendix-level details and complete split-level results are not fully available.,,,0.9300,False,False,,2026-09-15,2026-09-11 11:28:07
Auto-RecSys: Harnessing Autonomous Research Agents for Industry-Scale Recommender System,"Ming Li, Dai Li, Xuying Ning, Bo Sun, Rui Li, Yi Zhang, Silvia Gong, Xuan Cao, Rui Li, Cornelia Carapcea, Qunshu Zhang, Zhigang Wang, Yinglong Xia, Andy Wang",2026-09-10,2026-09-11,relevant,91,deep-research-agents,openalex; arxiv,https://arxiv.org/abs/2609.10922,10.48550/arxiv.2609.10922,2609.10922,2026,day,openalex,medium,2026-09-10,preprint,pass,"Codex evidence audit of the saved DeepSeek proposed pass, following the reviewed literal line-wrap correction. Auto-RecSys presents a well-motivated systems contribution for autonomous experimentation on industry-scale recommendation models. The architecture is clearly described, and the evaluation provides quantitative evidence of improved execution reliability and qualitative evidence of robust recovery. However, the evaluation is limited in scale and lacks statistical rigor, and the scientific value of generated ideas is not directly validated. Overall, the paper is a credible systems contribution with clear limitations.","Limited 31-iteration systems evidence, no statistical causal estimate, no direct validation of generated research ideas, and no formal playbook-update validation gate. The original rejected proposal rationale was not retained by the prior validator; this audit uses its preserved summary, explanations and exact quotes, and is explicitly a manual override rather than a new model assessment.",True,78,promising,medium,partial_full_text,systems_or_application,quality-recovery-v1,scholarly-rubric-v1,manual_override,manual-review:a32ed9b8bd06e893,2026-09-16T12:04:42+00:00,"Codex evidence audit of the saved DeepSeek proposed pass, following the reviewed literal line-wrap correction. Auto-RecSys presents a well-motivated systems contribution for autonomous experimentation on industry-scale recommendation models. The architecture is clearly described, and the evaluation provides quantitative evidence of improved execution reliability and qualitative evidence of robust recovery. However, the evaluation is limited in scale and lacks statistical rigor, and the scientific value of generated ideas is not directly validated. Overall, the paper is a credible systems contribution with clear limitations.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; An ablation analysis is reported.; Robustness or statistical analysis is reported.; Code, data, or research artifacts are described as available.",,"No reproducible review or selection methodology was detected.; Limited 31-iteration systems evidence, no statistical causal estimate, no direct validation of generated research ideas, and no formal playbook-update validation gate. The original rejected proposal rationale was not retained by the prior validator; this audit uses its preserved summary, explanations and exact quotes, and is explicitly a manual override rather than a new model assessment.",,,0.9100,False,False,,2026-09-15,2026-09-11 11:28:10
AI Scientists Need a Theory of Scientific Value,Yunlong Xu,2026-09-08,2026-09-14,relevant,93,ai-scientist; deep-research-agents,openalex,https://doi.org/10.6082/mgmw1-gw451,10.6082/mgmw1-gw451,,2026,day,openalex,medium,2026-09-08,preprint,uncertain,"The paper is a position/conceptual argument for making a theory of scientific value foundational to AI-for-science. It develops a substantive conceptual framework with formal illustrations (Bell-test loophole closure, Blackwell comparisons, potential-based rewards) and engages alternative views, but it does not empirically validate the proposed theory or demonstrate that the framework can be operationalized in AI systems. The central claims are argued rather than tested, and the paper explicitly frames the work as a research agenda, so the contribution is plausible and well-articulated but not yet established.","The manuscript is a preprint and the extracted text appears to omit some sections or tables (e.g., Table 1 is truncated, some section transitions are abrupt), so the assessment may not reflect the complete argument. Because the paper is a position piece, the absence of empirical validation is expected, but the strength of the contribution depends on whether the proposed formal apparatus can be made checkable and useful in practice, which the paper only sketches.",True,56,uncertain,high,full_text,position_or_conceptual,quality-recovery-v1,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T11:48:20+00:00,"This position paper argues that AI-for-science should treat a theory of scientific value as a foundational research task. It offers a clear conceptual framework, formal illustrations, and engagement with alternative views, but it does not empirically validate the proposal or demonstrate operational feasibility. The contribution is plausible and well-articulated but remains a research agenda rather than an established result.","The available text identifies data or a benchmark used by the work.; Quantitative evaluation signals were detected.; Limitations or threats to validity are acknowledged.; Formal definitions or proof-oriented evidence is present.; The paper clearly states its central thesis and connects it to concrete AI-for-science systems.; It provides formal illustrations, including a Bell-test loophole example and Blackwell-style experiment comparisons, to ground the argument.; It engages alternative views, such as Polanyi's tacit expertise and the risk that explicit criteria could impoverish science.; It acknowledges limitations, including incomparability, certification bounds, and the cost of obtaining stronger assessments.; It situates the proposal within existing work on AI scientists, benchmarks, and formal evaluation.","Comparative claims were detected without a suitable baseline in the available text.; The paper does not empirically test or implement the proposed theory of scientific value, leaving the practical feasibility of checkable value judgments unvalidated.; The formal apparatus is presented as a sketch; no complete derivation or worked end-to-end example is provided for the proposed judgment form.; The related-work discussion is broad but does not systematically compare the proposal against existing quantitative theories of scientific value or evaluation frameworks.; The extracted text appears incomplete in places, making it difficult to assess whether all supporting arguments and tables are fully developed.",No reproducible review or selection methodology was detected.; No empirical or simulation-based evaluation of the proposed value-theoretic framework is provided.; No complete formal derivation or proof of the proposed judgment form is included in the available text.; The full content of Table 1 and some section transitions are truncated or absent from the extraction.; No implementation details or code are provided for the proposed checkable judgments.,,,0.9300,False,False,,2026-09-12,2026-09-14 13:10:59
AgentIdeaBench: Benchmarking Scientific Ideation in the Agent Era,"Yunxiang Mo, Tianshi Zheng, Yisen Gao, Rui Wang, Newt Nguyen Kim Hue Nam, Kelvin Kiu Wai Tam, Jiaxin Bai, Yangqiu Song, Ginny Wong, Simon See",2026-09-07,2026-09-09,relevant,93,ai-scientist; deep-research-agents,openalex; arxiv,https://arxiv.org/abs/2609.07611,10.48550/arxiv.2609.07611,2609.07611,2026,day,openalex,medium,2026-09-07,preprint,pass,"Codex evidence audit of the saved DeepSeek proposed pass, following the reviewed literal line-wrap correction. The available evidence suggests a credible contribution with some limitations. Automated score 77/100, medium confidence, based on partial full text.","All dimension scores are LLM judgments; expert novelty validation is absent. Active mode bundles retrieval, turns and tool competence; the exploratory generation-time result is unconfirmed. The original rejected proposal rationale was not retained by the prior validator; this audit uses its preserved summary, explanations and exact quotes, and is explicitly a manual override rather than a new model assessment.",True,77,promising,medium,partial_full_text,dataset_or_benchmark,quality-recovery-v1,scholarly-rubric-v1,manual_override,manual-review:59013a3e4701bfef,2026-09-16T12:04:42+00:00,"Codex evidence audit of the saved DeepSeek proposed pass, following the reviewed literal line-wrap correction. The available evidence suggests a credible contribution with some limitations. Automated score 77/100, medium confidence, based on partial full text.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Dataset documentation, quality control, licensing, or ethics is discussed.",,"No reproducible review or selection methodology was detected.; All dimension scores are LLM judgments; expert novelty validation is absent. Active mode bundles retrieval, turns and tool competence; the exploratory generation-time result is unconfirmed. The original rejected proposal rationale was not retained by the prior validator; this audit uses its preserved summary, explanations and exact quotes, and is explicitly a manual override rather than a new model assessment.",,,0.9300,False,False,,2026-09-14,2026-09-09 11:31:25
Online Surrogate Repair: Decoupling High-Fidelity Feedback from Search Length in Closed-Loop Discovery,"Xiaotang Feng, Philip H. S. Torr, Bruno Andreis",2026-09-07,2026-09-09,relevant,93,ai-scientist; deep-research-agents,openalex; arxiv,https://arxiv.org/abs/2609.07655,10.48550/arxiv.2609.07655,2609.07655,2026,day,openalex,medium,2026-09-07,preprint,pass,"The paper presents a clearly formulated contribution (online surrogate repair) with explicit claims, a well-defined problem setting, and a systematic experimental design across static, synthetic, and MADE benchmark settings. The central claims are supported by quantitative results, including comparisons against multiple baselines and ablations, and the manuscript includes a limitations section. Methodological choices are described in sufficient detail to assess the validity of the main claims, and related work is positioned adequately for the stated scope.","Some uncertainty remains because the paper is a preprint and the full text includes only partial sections; however, the supplied material contains enough substantive evidence across all six required dimensions to support a pass.",True,78,promising,high,full_text,empirical_research,quality-recovery-v1,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T11:53:28+00:00,"The paper presents online surrogate repair (OSR), a closed-loop algorithm that uses sparse high-fidelity evaluations to update a surrogate during a longer agent search. The contribution is clearly stated, the methodology is described in detail, and the evaluation includes controlled synthetic worlds and the MADE benchmark with multiple baselines. The claims are supported by quantitative results, and limitations are acknowledged.",The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; The paper includes a limitations discussion.; The paper compares against multiple acquisition rules and feedback regimes.,,,,,0.9300,False,False,,2026-09-13,2026-09-09 11:31:25
"Real Science Is Harder Than Benchmarks: Evaluating Advanced AI Frameworks on Published Studies. II. Antibody Properties, Lipid-RNA Interactions","Priyanka Bhutada, Nitin Goyal, Tatsam K. Lakhankiya, Sai D. Narahari, Shrish S. N. Thangaraju, Tushar S. Nayak, Yudong Peng, Gouri S. A. Thota, Ratna S. D. Thota, Zhipeng Wang, Kuohao Lee, Anton Sinitskiy",2026-09-07,2026-09-08,relevant,93,ai-scientist; deep-research-agents,openalex,https://doi.org/10.64898/2026.09.03.749176,10.64898/2026.09.03.749176,,2026,day,openalex,medium,2026-09-07,preprint,uncertain,The proposed decision lacked sufficient located manuscript evidence; review is pending.,"Full-text evidence is required for contribution, methods, validation, comparisons or their justified absence, claim alignment, and limitations.",True,82,promising,high,full_text,empirical_research,quality-coverage-v1,scholarly-rubric-v1,llm,deepseek/deepseek-v4-pro-0813,2026-09-16T16:55:08+00:00,"This paper extends a prior evaluation of five AI research frameworks to two new biopharmaceutical tasks: antibody developability prediction and lipid-RNA MD simulation. The authors find that while AI frameworks show genuine strengths (e.g., identifying methodological issues, reporting p-values), they fail to match the scope of original studies, exhibit severe hallucinations, and produce irreproducible results. The paper provides detailed evidence, including tables and specific examples, and positions its contribution clearly within the emerging literature on AI-for-science evaluation.","The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Quantitative evaluation signals were detected.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Code, data, or research artifacts are described as available.; Dataset documentation, quality control, licensing, or ethics is discussed.; Clear articulation of the research gap and contribution in the introduction and abstract.; Detailed reporting of both quantitative results (tables) and qualitative failure modes.; Inclusion of full prompts in the appendix, supporting reproducibility.; Candid discussion of limitations, including temporal scope and verification burden.; Concrete examples of hallucinations and methodological failures with specific framework names and run identifiers.","The evaluation relies on the authors' manual inspection of intermediate files, which may introduce subjective judgment.; The paper does not provide a formal inter-rater reliability or systematic coding protocol for classifying failures.; The generalizability of findings is limited to the five frameworks and two case studies examined.; Some claims about the original reference papers (e.g., confidence intervals absent) are asserted without direct quotation or side-by-side comparison.","No reproducible review or selection methodology was detected.; References, acknowledgements and other labelled back matter excluded; body and detected appendices retained where budget permits.; No detailed description of how the authors verified whether production MD simulations actually occurred in AI outputs.; No explicit criteria for classifying a report as 'hallucinated' versus 'incomplete'.; No statistical analysis of the reproducibility of the authors' own evaluation process.",,,0.9300,False,False,,2026-09-12,2026-09-08 11:25:53
Do AI Scientists' Results Replicate? Pre-registration of a multi-seed re-execution study of agent-generated empirical claims with matched human baselines and auditor calibration (AutoReplicate),Ayush Chauhan,2026-09-05,2026-09-10,relevant,96,deep-research-agents; ai-scientist,openalex,https://doi.org/10.17605/osf.io/qm2c3,10.17605/osf.io/qm2c3,,2026,day,openalex,medium,2026-09-05,repository_only,uncertain,Scientific quality could not be assessed because manuscript-level evidence was unavailable.,"No semantic quality assessment has established methods, evidence and claim alignment.",False,42,uncertain,low,title_and_abstract,replication,quality-recovery-v1,scholarly-rubric-v1,deterministic,,2026-09-16T11:58:50+00:00,"The available evidence is mixed or incomplete. Automated score 42/100, low confidence, based on title and abstract.",The available text identifies data or a benchmark used by the work.,,"No suitable baseline comparison was detected in the available text.; No quantitative, user, expert, or operational evaluation was detected in the available text.",,,0.9600,False,False,,2026-09-09,2026-09-10 11:26:31
Generative artificial intelligence for nanomaterial discovery and nanoengineering: From data-driven design to autonomous laboratories,Vilas A. Chavan,2026-09-05,2026-09-09,relevant,93,ai-scientist; deep-research-agents,openalex,https://doi.org/10.1016/j.nxnano.2026.100728,10.1016/j.nxnano.2026.100728,,2026,day,openalex,medium,2026-09-05,peer_reviewed,uncertain,Scientific quality could not be assessed because manuscript-level evidence was unavailable.,"No semantic quality assessment has established methods, evidence and claim alignment.",False,43,uncertain,low,title_and_abstract,survey_or_review,quality-recovery-v1,scholarly-rubric-v1,deterministic,,2026-09-16T11:58:50+00:00,"The available evidence is mixed or incomplete. Automated score 43/100, low confidence, based on title and abstract.",The available text identifies data or a benchmark used by the work.; Limitations or threats to validity are acknowledged.,,No reproducible review or selection methodology was detected.,,,0.9300,False,False,,2026-09-07,2026-09-09 11:31:29
