title,authors,publication_date,first_seen_date,relevance_decision,relevance_score,tags,sources,url,doi,arxiv_id,publication_year,publication_date_precision,publication_date_source,publication_date_confidence,effective_sort_date,quality_score,quality_recommendation,quality_confidence,quality_assessment_scope,quality_paper_type,quality_assessment_version,quality_rubric_version,quality_assessor_type,quality_assessor_model,quality_assessed_at,quality_summary,quality_strengths,quality_concerns,quality_missing_information,quality_score_cap,quality_score_cap_reason,combined_rank_score,quality_downranked,quality_suppressed,latest_revision_date,source_updated_date,first_seen_at
Cognitive Computing Framework for Multi-Agent Systems – Episodic Memory and Predictive Modeling,Jincheng Zhang,2026-09-03,2026-09-05,relevant,100,memory-types; memory-policy; agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22267601,10.5281/zenodo.22267601,,2026,day,openalex,medium,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-04,2026-09-05 10:40:16
Consistent Conversational State for Virtual Agents: Slot-Based Memory for Accurate Fact Retrieval,"Erica Butts, Salam Daher",2026-09-03,2026-09-05,relevant,100,long-term-memory; memory-policy; evaluation; agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.1145/3806774.3832787,10.1145/3806774.3832787,,2026,day,openalex,medium,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-04,2026-09-05 10:40:16
공부 · 기억의 · 세 결 · 해마 통합 · 재응고와 거짓 기억 · AI 에이전트 기억 · Study Notes on Three Grains of Memory · Hippocampal Consolidation · Reconsolidation and False Memory · AI Agent Memory,CHOI JUNE LUMO-NE,2026-09-04,2026-09-05,maybe,62,,openalex,https://doi.org/10.5281/zenodo.22296042,10.5281/zenodo.22296042,,2026,day,openalex,medium,2026-09-04,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.6200,False,False,,2026-09-05,2026-09-05 10:40:16
ThreatLens: Claim-Level Grounding Verification for LLM-Extracted Cyber Threat Intelligence,Shiddarth Dey Tusar,2026-09-04,2026-09-05,maybe,45,,openalex,https://doi.org/10.5281/zenodo.22291590,10.5281/zenodo.22291590,,2026,day,openalex,medium,2026-09-04,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.4500,False,False,,2026-09-05,2026-09-05 10:40:20
darwin-memo: self-curating memory for LLM agents,Roger Simões,2026-09-04,2026-09-05,maybe,43,agent-memory; llm-agents,openalex,https://doi.org/10.5281/zenodo.22305901,10.5281/zenodo.22305901,,2026,day,openalex,medium,2026-09-04,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.4300,False,False,,2026-09-05,2026-09-05 10:40:16
From delegation to moral abdication: classifying large language model uses by judgment and epistemic control,Rainer Mühlhoff,2026-09-03,2026-09-05,maybe,45,,openalex,https://doi.org/10.1007/s00146-026-03281-6,10.1007/s00146-026-03281-6,,2026,day,openalex,medium,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.4500,False,False,,2026-09-05,2026-09-05 10:40:17
Structural Trust: An Uncertainty-Typed Property Hypergraph for Agent Memory,Raymond Deiotte,2026-09-01,2026-09-05,maybe,45,,openalex,https://doi.org/10.5281/zenodo.22309077,10.5281/zenodo.22309077,,2026,day,openalex,medium,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.4500,False,False,,2026-09-05,2026-09-05 10:40:15
From Private Experience to Collective State: A Survey of Multi-Agent Memory Formation and Maintenance,"yiqi wang, jiaqi zhang, Zhangkai Wu, M H Zheng, zequn sun, yiqun duan, zirui liu, zhihao hao, Taotao Cai",2026-08-31,2026-09-05,maybe,43,agent-memory; llm-agents,openalex,https://doi.org/10.5281/zenodo.22288996,10.5281/zenodo.22288996,,2026,day,openalex,medium,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.4300,False,False,,2026-09-05,2026-09-05 10:40:15
"A Safety Memory Is a Declassification Channel: Why Origin Binding, Taint Tracking and Memory Isolation Do Not Secure the Records an Agent Writes About Attacks",Pranay M. Mahendrakar,2026-09-03,2026-09-04,relevant,100,agent-memory; long-term-memory; memory-policy; benchmark; evaluation; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22262653,10.5281/zenodo.22262653,,2026,day,openalex,medium,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-03,2026-09-04 11:23:06
When Users Don't Ask: Benchmarking Context-Driven Memory Retrieval in Conversational Agents,"Wen-Yu Chang, Yun-Nung Chen",2026-09-03,2026-09-04,relevant,100,memory-policy; benchmark; evaluation; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://doi.org/10.48550/arxiv.2609.03467,10.48550/arxiv.2609.03467,2609.03467,2026,day,openalex,medium,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-05,2026-09-04 11:22:45
